created_at,district,established_year,has_computer_lab,internet_connectivity,is_active,pincode,primary_language,school_id,school_name,school_type,state,student_capacity
2023-08-28T19:02:00.000Z,Bengaluru,1984,true,broadband,true,546048,Regional,1,Bengaluru Model School No. 1,Model,Karnataka,801
2022-08-14T20:37:00.000Z,Mumbai,2008,true,broadband,true,440495,Hindi,2,Mumbai Government Secondary School No. 2,Government,Maharashtra,1334
2022-04-10T17:54:00.000Z,Lucknow,1987,true,none,true,265392,Hindi,3,Lucknow Government Secondary School No. 3,Government,Uttar Pradesh,996
2023-10-06T17:36:00.000Z,Siliguri,1999,false,none,true,715695,Hindi,4,Siliguri Municipal School No. 4,Municipal,West Bengal,1794
2023-04-10T17:10:00.000Z,Ahmedabad,1988,false,none,true,396673,Regional,5,Ahmedabad Government High School No. 5,Government,Gujarat,766
2022-09-08T11:29:00.000Z,Durgapur,2014,false,limited,true,797841,Hindi,6,Durgapur Government Secondary School No. 6,Government,West Bengal,846
2022-11-20T18:17:00.000Z,Udaipur,2013,true,limited,true,383000,English,7,Udaipur Model School No. 7,Model,Rajasthan,749
2022-05-23T13:47:00.000Z,Mysuru,2011,false,none,true,551245,Hindi,8,Mysuru Navodaya Vidyalaya No. 8,Navodaya,Karnataka,735
2022-04-04T07:55:00.000Z,Khammam,2007,true,mobile_data,true,586622,Regional,9,Khammam Municipal School No. 9,Municipal,Telangana,1177
2023-06-26T14:35:00.000Z,Mysuru,2013,true,broadband,false,530969,Hindi,10,Mysuru Model School No. 10,Model,Karnataka,1922
2022-01-04T14:32:00.000Z,Mumbai,1987,false,mobile_data,true,480381,English,11,Mumbai Model School No. 11,Model,Maharashtra,1837
2023-06-28T06:38:00.000Z,Tiruchirappalli,2010,false,broadband,true,691959,Hindi,12,Tiruchirappalli Government High School No. 12,Government,Tamil Nadu,911
2023-05-13T08:48:00.000Z,Asansol,1989,true,mobile_data,true,724662,Hindi,13,Asansol Government High School No. 13,Government,West Bengal,1043
2023-07-07T12:45:00.000Z,Warangal,2005,true,limited,false,596474,Hindi,14,Warangal Government Secondary School No. 14,Government,Telangana,1273
2022-01-22T13:37:00.000Z,Agra,1998,false,mobile_data,true,295180,English,15,Agra Model School No. 15,Model,Uttar Pradesh,1064
2022-10-13T21:13:00.000Z,Ahmedabad,1984,true,broadband,true,392719,Hindi,16,Ahmedabad Government High School No. 16,Government,Gujarat,420
2023-11-06T19:22:00.000Z,Warangal,2000,true,mobile_data,true,584847,Hindi,17,Warangal Model School No. 17,Model,Telangana,1480
2022-04-22T13:12:00.000Z,Kota,2011,false,broadband,true,317100,Hindi,18,Kota Kendriya Vidyalaya No. 18,Kendriya,Rajasthan,1679
2023-07-18T09:03:00.000Z,Bhavnagar,1981,true,mobile_data,true,328373,Regional,19,Bhavnagar Kendriya Vidyalaya No. 19,Kendriya,Gujarat,1164
2023-01-24T06:24:00.000Z,Hyderabad,1996,false,mobile_data,true,540982,Hindi,20,Hyderabad Government High School No. 20,Government,Telangana,640
2022-03-01T07:47:00.000Z,Agra,2005,false,mobile_data,true,265444,English,21,Agra Municipal School No. 21,Municipal,Uttar Pradesh,1726
2022-07-10T08:38:00.000Z,Kolkata,2002,false,limited,true,786569,English,22,Kolkata Government High School No. 22,Government,West Bengal,1276
