skill_id,category_id,skill_name,skill_code,description,proficiency_levels,difficulty_to_acquire,estimated_hours,points_per_level,prerequisite_skill_id,industry_relevance,future_demand,is_active,created_at
1,1,File Management,SKL0001,Ability to apply file management concepts effectively,5,Easy,5,10,,High,Stable,true,2023-04-06T06:18:00.000Z
2,1,Web Browsing,SKL0002,Ability to apply web browsing concepts effectively,5,Easy,5,10,,High,Stable,true,2023-06-16T10:01:00.000Z
3,1,Keyboard Proficiency,SKL0003,Ability to apply keyboard proficiency concepts effectively,5,Easy,5,10,,Medium,Growing,true,2023-03-15T07:08:00.000Z
4,1,Document Creation,SKL0004,Ability to apply document creation concepts effectively,5,Medium,10,15,,Low,Stable,true,2023-04-17T20:04:00.000Z
5,1,Spreadsheet Basics,SKL0005,Ability to apply spreadsheet basics concepts effectively,5,Medium,10,15,,Medium,Growing,true,2023-01-11T09:22:00.000Z
6,1,Cloud Storage,SKL0006,Ability to apply cloud storage concepts effectively,5,Easy,5,10,,High,Growing,true,2023-01-17T07:01:00.000Z
7,1,Software Installation,SKL0007,Ability to apply software installation concepts effectively,5,Medium,10,15,,High,Growing,true,2023-02-20T22:28:00.000Z
8,1,OS Navigation,SKL0008,Ability to apply os navigation concepts effectively,5,Easy,5,10,,High,Growing,true,2023-05-16T09:01:00.000Z
9,1,Presentation Skills,SKL0009,Ability to apply presentation skills concepts effectively,5,Medium,10,15,,High,Growing,true,2023-01-10T20:14:00.000Z
10,1,Device Troubleshooting,SKL0010,Ability to apply device troubleshooting concepts effectively,5,Hard,20,25,,High,Growing,true,2023-05-23T17:20:00.000Z
11,2,Password Management,SKL0011,Ability to apply password management concepts effectively,5,Easy,5,10,,Medium,Growing,true,2023-02-14T22:24:00.000Z
12,2,Phishing Recognition,SKL0012,Ability to apply phishing recognition concepts effectively,5,Medium,10,15,,High,Growing,true,2023-04-01T22:59:00.000Z
13,2,Privacy Settings,SKL0013,Ability to apply privacy settings concepts effectively,5,Medium,10,15,,High,Growing,true,2023-03-21T06:34:00.000Z
14,2,Safe Browsing,SKL0014,Ability to apply safe browsing concepts effectively,5,Easy,5,10,,High,Growing,true,2023-03-28T18:10:00.000Z
15,2,Data Protection,SKL0015,Ability to apply data protection concepts effectively,5,Medium,10,15,,High,Stable,true,2023-02-03T09:33:00.000Z
16,2,Social Media Safety,SKL0016,Ability to apply social media safety concepts effectively,5,Medium,10,15,,High,Stable,true,2023-02-02T22:35:00.000Z
17,2,Cyberbullying Prevention,SKL0017,Ability to apply cyberbullying prevention concepts effectively,5,Medium,10,15,,Medium,Growing,true,2023-06-14T21:21:00.000Z
18,2,Identity Protection,SKL0018,Ability to apply identity protection concepts effectively,5,Hard,20,25,,Medium,Stable,true,2023-04-19T12:33:00.000Z
