created_at,description,education_required,entry_salary_range,growth_potential,industry_sector,is_active,is_trending,job_availability,pathway_code,pathway_id,pathway_name,related_modules,skills_required_count,typical_progression,work_environment
2023-05-31T16:16:00.000Z,Career as a Software Developer in the Technology sector,Bachelor's,40K-60K,High,Technology,true,true,High Demand,CRR001,1,Software Developer,"Module 2, Module 7",7,Junior Software Developer → Senior Software Developer → Lead,Hybrid
2023-03-07T19:06:00.000Z,Career as a Data Analyst in the Technology sector,Bachelor's,35K-50K,High,Technology,true,true,High Demand,CRR002,2,Data Analyst,"Module 5, Module 12",5,Junior Data Analyst → Senior Data Analyst → Lead,Office
2023-03-26T11:18:00.000Z,Career as a Digital Marketer in the Business sector,Bachelor's,25K-40K,High,Business,true,true,High Demand,CRR003,3,Digital Marketer,"Module 1, Module 8",7,Junior Digital Marketer → Senior Digital Marketer → Lead,Hybrid
2023-06-05T12:54:00.000Z,Career as a UI/UX Designer in the Creative sector,Diploma,30K-50K,High,Creative,true,true,High Demand,CRR004,4,UI/UX Designer,"Module 2, Module 7",7,Junior UI/UX Designer → Senior UI/UX Designer → Lead,Remote
2023-05-12T11:23:00.000Z,Career as a Cybersecurity Analyst in the Technology sector,Bachelor's,45K-70K,High,Technology,true,true,High Demand,CRR005,5,Cybersecurity Analyst,"Module 3, Module 12",8,Junior Cybersecurity Analyst → Senior Cybersecurity Analyst → Lead,Office
2023-01-25T18:29:00.000Z,Career as a AI/ML Engineer in the Technology sector,Master's,60K-100K,High,Technology,true,true,High Demand,CRR006,6,AI/ML Engineer,"Module 3, Module 10",6,Junior AI/ML Engineer → Senior AI/ML Engineer → Lead,Field
2023-02-27T10:44:00.000Z,Career as a Content Creator in the Creative sector,Diploma,20K-40K,Medium,Creative,true,false,Moderate Demand,CRR007,7,Content Creator,"Module 2, Module 12",7,Junior Content Creator → Senior Content Creator → Lead,Hybrid
2023-03-01T15:26:00.000Z,Career as a Social Media Manager in the Business sector,Bachelor's,25K-40K,High,Business,true,true,High Demand,CRR008,8,Social Media Manager,"Module 1, Module 8",6,Junior Social Media Manager → Senior Social Media Manager → Lead,Remote
2023-03-08T14:34:00.000Z,Career as a E-commerce Specialist in the Business sector,Bachelor's,30K-45K,High,Business,true,true,High Demand,CRR009,9,E-commerce Specialist,"Module 6, Module 10",7,Junior E-commerce Specialist → Senior E-commerce Specialist → Lead,Office
2023-04-16T13:58:00.000Z,Career as a Cloud Engineer in the Technology sector,Bachelor's,50K-80K,High,Technology,true,true,High Demand,CRR010,10,Cloud Engineer,"Module 3, Module 7",6,Junior Cloud Engineer → Senior Cloud Engineer → Lead,Hybrid
2023-06-11T09:04:00.000Z,Career as a Mobile App Developer in the Technology sector,Bachelor's,40K-65K,High,Technology,true,true,High Demand,CRR011,11,Mobile App Developer,"Module 1, Module 12",6,Junior Mobile App Developer → Senior Mobile App Developer → Lead,Remote
2023-01-20T22:25:00.000Z,Career as a Web Developer in the Technology sector,Diploma,30K-50K,High,Technology,true,true,High Demand,CRR012,12,Web Developer,"Module 5, Module 9",8,Junior Web Developer → Senior Web Developer → Lead,Field
2023-03-18T14:01:00.000Z,Career as a Tech Support in the Technology sector,Diploma,20K-30K,Medium,Technology,true,false,Moderate Demand,CRR013,13,Tech Support,"Module 6, Module 10",5,Junior Tech Support → Senior Tech Support → Lead,Office
2023-02-20T16:31:00.000Z,Career as a Network Admin in the Technology sector,Bachelor's,35K-50K,Medium,Technology,true,false,Moderate Demand,CRR014,14,Network Admin,"Module 1, Module 12",5,Junior Network Admin → Senior Network Admin → Lead,Remote
2023-04-30T06:20:00.000Z,Career as a Database Admin in the Technology sector,Bachelor's,40K-60K,Medium,Technology,true,false,Moderate Demand,CRR015,15,Database Admin,"Module 6, Module 9",7,Junior Database Admin → Senior Database Admin → Lead,Office
2023-02-09T16:32:00.000Z,Career as a Business Analyst in the Business sector,Bachelor's,40K-60K,High,Business,true,true,High Demand,CRR016,16,Business Analyst,"Module 4, Module 8",6,Junior Business Analyst → Senior Business Analyst → Lead,Office
2023-06-23T15:17:00.000Z,Career as a Project Manager in the Business sector,Bachelor's,50K-80K,High,Business,true,true,High Demand,CRR017,17,Project Manager,"Module 1, Module 7",8,Junior Project Manager → Senior Project Manager → Lead,Remote
2023-03-28T20:56:00.000Z,Career as a QA Engineer in the Technology sector,Bachelor's,35K-50K,Medium,Technology,true,false,Moderate Demand,CRR018,18,QA Engineer,"Module 5, Module 7",5,Junior QA Engineer → Senior QA Engineer → Lead,Hybrid
2023-02-10T09:57:00.000Z,Career as a DevOps Engineer in the Technology sector,Bachelor's,50K-80K,High,Technology,true,true,High Demand,CRR019,19,DevOps Engineer,"Module 3, Module 11",7,Junior DevOps Engineer → Senior DevOps Engineer → Lead,Hybrid
2023-01-30T06:34:00.000Z,Career as a Product Manager in the Business sector,Master's,60K-100K,High,Business,true,true,High Demand,CRR020,20,Product Manager,"Module 6, Module 9",5,Junior Product Manager → Senior Product Manager → Lead,Remote
2023-01-18T15:45:00.000Z,Career as a Graphic Designer in the Creative sector,Diploma,25K-40K,Medium,Creative,true,false,Moderate Demand,CRR021,21,Graphic Designer,"Module 2, Module 11",5,Junior Graphic Designer → Senior Graphic Designer → Lead,Hybrid
2023-04-06T12:07:00.000Z,Career as a Video Editor in the Creative sector,Diploma,25K-45K,High,Creative,true,true,High Demand,CRR022,22,Video Editor,"Module 1, Module 7",7,Junior Video Editor → Senior Video Editor → Lead,Office
2023-06-29T20:12:00.000Z,Career as a Technical Writer in the Technology sector,Bachelor's,30K-45K,Medium,Technology,true,false,Moderate Demand,CRR023,23,Technical Writer,"Module 4, Module 10",8,Junior Technical Writer → Senior Technical Writer → Lead,Hybrid
2023-05-30T18:36:00.000Z,Career as a HR Specialist in the Business sector,Bachelor's,30K-45K,Medium,Business,true,false,Moderate Demand,CRR024,24,HR Specialist,"Module 5, Module 11",8,Junior HR Specialist → Senior HR Specialist → Lead,Remote
2023-01-23T13:39:00.000Z,Career as a Financial Analyst in the Finance sector,Bachelor's,40K-60K,Medium,Finance,true,false,Moderate Demand,CRR025,25,Financial Analyst,"Module 1, Module 7",6,Junior Financial Analyst → Senior Financial Analyst → Lead,Remote
2023-01-18T08:36:00.000Z,Career as a Healthcare IT in the Healthcare sector,Bachelor's,35K-55K,High,Healthcare,true,true,High Demand,CRR026,26,Healthcare IT,"Module 6, Module 7",8,Junior Healthcare IT → Senior Healthcare IT → Lead,Field
2023-02-14T11:00:00.000Z,Career as a EdTech Specialist in the Education sector,Bachelor's,30K-45K,High,Education,true,true,High Demand,CRR027,27,EdTech Specialist,"Module 1, Module 11",7,Junior EdTech Specialist → Senior EdTech Specialist → Lead,Office
2023-06-27T16:16:00.000Z,Career as a Entrepreneur in the Business sector,Varies,Variable,Medium,Business,true,false,Self-driven,CRR028,28,Entrepreneur,"Module 5, Module 11",7,Junior Entrepreneur → Senior Entrepreneur → Lead,Remote
2023-04-13T21:39:00.000Z,Career as a Freelancer in the Various sector,Varies,Variable,Medium,Various,true,false,Self-driven,CRR029,29,Freelancer,"Module 4, Module 9",6,Junior Freelancer → Senior Freelancer → Lead,Hybrid
2023-05-14T20:16:00.000Z,Career as a Customer Success in the Business sector,Bachelor's,35K-55K,High,Business,true,true,High Demand,CRR030,30,Customer Success,"Module 2, Module 7",8,Junior Customer Success → Senior Customer Success → Lead,Remote
