answer_changed,attempt_id,confidence_level,created_at,flagged_for_review,hint_used,is_correct,points_awarded,question_id,response_id,selected_option_id,time_taken_seconds
false,1,Confident,2024-09-10T13:44:28.000Z,false,true,false,0,491,1,1963,44
false,1,Confident,2024-09-10T13:47:05.000Z,false,false,false,0,492,2,1965,87
false,1,Confident,2024-09-10T13:48:40.000Z,false,false,false,0,493,3,1970,73
false,1,Confident,2024-09-10T13:46:07.000Z,false,false,true,1,494,4,1973,66
false,1,Unsure,2024-09-10T13:48:12.000Z,false,true,true,1,495,5,1977,12
false,2,Confident,2025-01-19T09:36:23.000Z,false,false,false,0,176,6,701,88
false,2,Very Confident,2025-01-19T09:34:11.000Z,false,false,false,0,177,7,707,87
false,2,Confident,2025-01-19T09:32:47.000Z,false,false,false,0,178,8,709,73
false,2,Very Confident,2025-01-19T09:33:20.000Z,false,true,false,0,179,9,713,59
false,2,Guessed,2025-01-19T09:36:59.000Z,false,false,false,0,180,10,717,27
false,3,Very Confident,2025-01-03T21:36:34.000Z,false,false,false,0,231,11,921,13
true,3,Very Confident,2025-01-03T21:39:01.000Z,false,false,false,0,232,12,927,60
true,3,Very Confident,2025-01-03T21:35:18.000Z,false,false,true,1,233,13,932,49
false,3,Confident,2025-01-03T21:37:43.000Z,false,false,false,0,234,14,934,84
false,3,Confident,2025-01-03T21:39:01.000Z,false,false,true,3,235,15,938,69
false,4,Guessed,2025-01-09T12:19:33.000Z,true,false,true,1,396,16,1584,44
false,4,Confident,2025-01-09T12:19:05.000Z,false,false,false,0,397,17,1588,71
false,4,Unsure,2025-01-09T12:20:32.000Z,false,false,false,0,398,18,1591,40
false,4,Guessed,2025-01-09T12:19:16.000Z,false,false,true,3,399,19,1595,29
false,4,Very Confident,2025-01-09T12:18:26.000Z,false,false,false,0,400,20,1598,25
false,5,Confident,2024-08-06T08:42:51.000Z,false,true,false,0,131,21,521,90
false,5,Very Confident,2024-08-06T08:43:08.000Z,false,false,false,0,132,22,526,47
false,5,Confident,2024-08-06T08:43:56.000Z,true,false,false,0,133,23,532,50
false,5,Confident,2024-08-06T08:40:30.000Z,false,false,true,1,134,24,536,55
false,5,Confident,2024-08-06T08:40:12.000Z,false,false,true,1,135,25,537,47
false,6,Confident,2025-09-03T22:56:41.000Z,false,false,false,0,166,26,663,8
false,6,Very Confident,2025-09-03T22:56:19.000Z,false,false,false,0,167,27,666,88
false,6,Confident,2025-09-03T22:57:44.000Z,false,false,false,0,168,28,670,49
false,6,Confident,2025-09-03T22:58:39.000Z,true,false,false,0,169,29,675,11
false,6,Confident,2025-09-03T22:57:12.000Z,false,false,true,2,170,30,679,73
false,7,Confident,2025-01-14T07:38:33.000Z,false,false,false,0,436,31,1744,82
false,7,Confident,2025-01-14T07:37:02.000Z,false,false,false,0,437,32,1746,15
true,7,Confident,2025-01-14T07:36:23.000Z,false,false,false,0,438,33,1750,25
false,7,Unsure,2025-01-14T07:39:14.000Z,false,false,true,3,439,34,1755,55
false,7,Guessed,2025-01-14T07:39:35.000Z,false,false,false,0,440,35,1760,61
true,8,Unsure,2025-05-05T20:08:21.000Z,true,false,false,0,586,36,2344,72
false,8,Confident,2025-05-05T20:08:41.000Z,true,false,true,2,587,37,2346,53
false,8,Confident,2025-05-05T20:07:27.000Z,false,false,false,0,588,38,2349,22
false,8,Confident,2025-05-05T20:11:52.000Z,false,false,false,0,589,39,2355,57
false,8,Unsure,2025-05-05T20:09:47.000Z,false,false,false,0,590,40,2358,48
false,9,Confident,2024-11-26T15:48:06.000Z,false,false,false,0,526,41,2103,34
false,9,Confident,2024-11-26T15:48:49.000Z,false,false,true,2,527,42,2107,64
false,9,Very Confident,2024-11-26T15:49:05.000Z,true,false,false,0,528,43,2111,39
false,9,Unsure,2024-11-26T15:48:03.000Z,false,false,true,3,529,44,2113,15
false,9,Very Confident,2024-11-26T15:49:10.000Z,false,true,false,0,530,45,2120,59
false,10,Confident,2024-11-09T10:53:05.000Z,false,false,true,1,366,46,1462,22
false,10,Confident,2024-11-09T10:56:47.000Z,false,false,false,0,367,47,1465,19
false,10,Very Confident,2024-11-09T10:56:47.000Z,false,false,false,0,368,48,1470,66
false,10,Very Confident,2024-11-09T10:55:32.000Z,false,false,false,0,369,49,1476,45
false,10,Very Confident,2024-11-09T10:56:06.000Z,false,false,false,0,370,50,1480,12
true,11,Confident,2025-07-03T13:09:27.000Z,false,false,false,0,551,51,2204,31
false,11,Guessed,2025-07-03T13:10:27.000Z,false,false,false,0,552,52,2208,28
false,11,Confident,2025-07-03T13:10:28.000Z,false,false,false,0,553,53,2212,49
false,11,Confident,2025-07-03T13:12:07.000Z,false,false,false,0,554,54,2216,12
false,11,Very Confident,2025-07-03T13:09:33.000Z,false,true,false,0,555,55,2217,73
false,12,Unsure,2025-03-28T06:52:12.000Z,false,false,false,0,31,56,121,65
false,12,Confident,2025-03-28T06:55:37.000Z,false,false,true,2,32,57,125,24
false,12,Confident,2025-03-28T06:53:04.000Z,false,false,false,0,33,58,130,74
false,12,Confident,2025-03-28T06:54:20.000Z,false,false,false,0,34,59,133,74
false,12,Unsure,2025-03-28T06:55:13.000Z,false,false,false,0,35,60,139,82
false,13,Very Confident,2025-09-26T17:12:40.000Z,false,false,true,3,446,61,1783,51
false,13,Confident,2025-09-26T17:12:25.000Z,false,false,false,0,447,62,1786,19
false,13,Confident,2025-09-26T17:09:00.000Z,false,false,false,0,448,63,1790,17
false,13,Unsure,2025-09-26T17:13:00.000Z,false,false,false,0,449,64,1795,87
false,13,Confident,2025-09-26T17:12:02.000Z,false,false,true,3,450,65,1798,15
false,14,Confident,2024-12-12T14:33:32.000Z,false,false,true,3,421,66,1682,8
false,14,Unsure,2024-12-12T14:31:51.000Z,false,false,false,0,422,67,1685,12
false,14,Very Confident,2024-12-12T14:31:56.000Z,false,true,false,0,423,68,1692,29
false,14,Confident,2024-12-12T14:33:21.000Z,false,false,true,2,424,69,1695,42
