avg_success_rate,category,correct_choice_id,created_at,description,difficulty_level,estimated_duration_minutes,feedback_correct,feedback_incorrect,is_active,is_mandatory,learning_objective,points_reward,related_module_id,scenario_code,scenario_id,scenario_title,scenario_type,target_age_group,times_presented,total_choices,updated_at
0.8,Security,4,2023-01-07T20:09:00.000Z,Identify a suspicious email requesting account info,Medium,8,Great job identifying the correct approach to phishing email detection!,Review the key concepts about phishing email detection and try again.,true,true,Students will learn to handle phishing email detection situations safely.,25,3,SAF001,1,Phishing Email Detection,quiz,14-15,1832,4,2025-04-26T18:48:00.000Z
0.8,Security,3,2023-02-17T20:05:00.000Z,Evaluate different passwords for strength,Easy,5,Great job identifying the correct approach to password strength check!,Review the key concepts about password strength check and try again.,true,true,Students will learn to handle password strength check situations safely.,15,2,SAF002,2,Password Strength Check,simulation,All,7647,4,2025-03-29T19:20:00.000Z
0.62,Privacy,1,2023-11-02T12:48:00.000Z,Decide what info is safe to share online,Easy,5,Great job identifying the correct approach to personal info sharing!,Review the key concepts about personal info sharing and try again.,true,true,Students will learn to handle personal info sharing situations safely.,15,2,SAF003,3,Personal Info Sharing,simulation,All,3008,4,2024-11-12T09:28:00.000Z
0.57,Security,4,2023-10-28T10:16:00.000Z,Verify if a shortened link is safe,Medium,8,Great job identifying the correct approach to suspicious link alert!,Review the key concepts about suspicious link alert and try again.,true,true,Students will learn to handle suspicious link alert situations safely.,25,3,SAF004,4,Suspicious Link Alert,video_choice,14-15,7231,4,2024-07-09T22:04:00.000Z
0.6,Communication,3,2023-09-09T07:20:00.000Z,How to respond to online harassment,Medium,8,Great job identifying the correct approach to cyberbullying response!,Review the key concepts about cyberbullying response and try again.,true,true,Students will learn to handle cyberbullying response situations safely.,25,3,SAF005,5,Cyberbullying Response,quiz,14-15,836,4,2025-09-10T19:13:00.000Z
0.59,Privacy,2,2023-09-05T13:30:00.000Z,Review profile privacy settings,Easy,5,Great job identifying the correct approach to social media privacy!,Review the key concepts about social media privacy and try again.,true,true,Students will learn to handle social media privacy situations safely.,15,2,SAF006,6,Social Media Privacy,simulation,All,2490,4,2024-12-10T20:00:00.000Z
0.64,Content,4,2023-01-27T16:35:00.000Z,Identify misinformation in an article,Hard,12,Great job identifying the correct approach to fake news recognition!,Review the key concepts about fake news recognition and try again.,true,false,Students will learn to handle fake news recognition situations safely.,40,2,SAF007,7,Fake News Recognition,quiz,16-17,1583,4,2024-07-07T17:19:00.000Z
0.73,Communication,3,2023-09-29T21:28:00.000Z,Safe interaction with unknown contacts,Easy,5,Great job identifying the correct approach to online stranger danger!,Review the key concepts about online stranger danger and try again.,true,true,Students will learn to handle online stranger danger situations safely.,15,2,SAF008,8,Online Stranger Danger,video_choice,All,7476,4,2024-06-07T21:09:00.000Z
0.59,Privacy,4,2023-08-29T21:04:00.000Z,Evaluate app permission requests,Medium,8,Great job identifying the correct approach to app permission review!,Review the key concepts about app permission review and try again.,true,true,Students will learn to handle app permission review situations safely.,25,2,SAF009,9,App Permission Review,simulation,14-15,4222,4,2025-01-04T17:16:00.000Z
0.62,Privacy,4,2023-09-20T14:37:00.000Z,Understand cookie consent options,Medium,8,Great job identifying the correct approach to data privacy choices!,Review the key concepts about data privacy choices and try again.,true,true,Students will learn to handle data privacy choices situations safely.,25,2,SAF010,10,Data Privacy Choices,simulation,14-15,6731,4,2025-05-24T15:15:00.000Z
