attempt_number,confidence_level,created_at,device_used,feedback_helpful_rating,feedback_viewed,is_correct,points_earned,reflection_submitted,reflection_text,response_id,response_time_seconds,scenario_id,selected_choice,session_id,student_id
1,Guessed,2024-06-26T18:03:00.000Z,mobile,5,true,true,15,false,,1,112,24,2,sess_854239,3307
2,Somewhat Sure,2024-06-22T22:07:00.000Z,mobile,,false,false,0,false,,2,181,40,2,sess_743583,14439
2,Very Sure,2025-02-17T10:29:00.000Z,mobile,,false,false,0,true,,3,145,5,2,sess_235264,7843
2,Somewhat Sure,2025-10-01T19:02:00.000Z,mobile,3,false,false,0,false,,4,149,19,1,sess_663537,13580
2,Very Sure,2025-06-10T06:34:00.000Z,mobile,,true,false,0,true,,5,144,25,2,sess_233764,10888
1,Very Sure,2024-08-06T08:12:00.000Z,mobile,,true,false,0,false,,6,93,37,1,sess_947742,2275
2,Somewhat Sure,2025-07-23T09:46:00.000Z,desktop,5,true,true,15,false,,7,94,23,2,sess_172863,1999
1,Unsure,2025-10-26T09:52:00.000Z,desktop,3,false,false,0,false,I learned about social media privacy,8,104,6,3,sess_746933,8982
1,Somewhat Sure,2025-08-16T09:54:00.000Z,mobile,,true,false,0,false,,9,252,2,2,sess_911572,3147
1,Unsure,2025-12-21T12:37:00.000Z,mobile,5,true,false,0,false,,10,216,30,2,sess_928815,3946
2,Unsure,2025-06-30T09:57:00.000Z,mobile,5,true,false,0,false,,11,105,4,3,sess_865034,6718
2,Very Sure,2025-05-29T15:13:00.000Z,tablet,3,true,true,40,true,,12,84,19,3,sess_352810,5947
1,Somewhat Sure,2025-08-11T20:07:00.000Z,desktop,5,false,false,0,false,,13,61,31,3,sess_511590,6917
1,Somewhat Sure,2025-10-11T21:08:00.000Z,mobile,5,true,false,0,false,,14,101,21,3,sess_111893,10207
1,Unsure,2024-07-28T17:24:00.000Z,desktop,3,true,false,0,true,,15,208,8,2,sess_928152,1925
1,Very Sure,2024-11-01T09:59:00.000Z,desktop,,true,false,0,false,,16,264,21,1,sess_484256,5358
2,Very Sure,2025-09-28T12:46:00.000Z,mobile,,true,false,0,false,,17,155,15,2,sess_559515,3324
1,Somewhat Sure,2025-07-20T11:28:00.000Z,mobile,4,true,false,0,true,,18,284,25,2,sess_800954,2151
1,Somewhat Sure,2025-04-03T11:36:00.000Z,mobile,3,false,true,15,false,I learned about video call security,19,223,17,3,sess_785051,1862
1,Somewhat Sure,2025-02-28T17:41:00.000Z,desktop,4,true,true,15,false,I learned about personal info sharing,20,68,3,1,sess_629437,675
1,Unsure,2024-09-25T07:19:00.000Z,mobile,,true,false,0,false,,21,63,33,1,sess_284920,1149
1,Very Sure,2025-12-26T07:53:00.000Z,desktop,,true,false,0,true,,22,292,7,3,sess_184729,11029
1,Unsure,2025-11-30T09:45:00.000Z,mobile,,true,false,0,false,,23,296,22,3,sess_220003,2199
1,Unsure,2025-09-17T06:47:00.000Z,tablet,,true,false,0,false,,24,200,34,2,sess_346493,8835
1,Unsure,2025-04-24T11:14:00.000Z,mobile,,true,false,0,true,I learned about identity theft prevention,25,32,22,4,sess_477658,1901
2,Somewhat Sure,2025-03-27T07:33:00.000Z,mobile,5,true,true,25,false,I learned about profile privacy settings,26,54,34,1,sess_540806,1844
2,Somewhat Sure,2025-02-19T09:47:00.000Z,desktop,4,true,false,0,false,,27,293,28,1,sess_877845,1787
2,Somewhat Sure,2024-08-29T19:30:00.000Z,mobile,,false,false,0,true,I learned about password manager usage,28,249,29,3,sess_997314,12160
1,Unsure,2024-09-26T21:41:00.000Z,desktop,,true,false,0,false,,29,137,38,2,sess_823001,1034
1,Very Sure,2025-05-04T16:08:00.000Z,mobile,,true,false,0,true,,30,200,34,2,sess_214980,9351
2,Unsure,2025-10-23T12:28:00.000Z,desktop,3,false,true,40,false,,31,213,38,1,sess_688920,9386
1,Unsure,2025-05-08T11:45:00.000Z,mobile,,false,false,0,false,I learned about password strength check,32,284,2,2,sess_729665,898
2,Unsure,2024-07-10T13:56:00.000Z,mobile,3,true,false,0,false,,33,96,7,2,sess_490255,5351
2,Somewhat Sure,2025-09-29T13:26:00.000Z,mobile,,true,true,15,true,,34,280,2,3,sess_718200,6735
1,Very Sure,2025-02-13T21:15:00.000Z,desktop,,true,false,0,false,,35,84,8,1,sess_782982,2187
2,Unsure,2025-11-23T19:16:00.000Z,mobile,5,true,false,0,false,I learned about scam recognition,36,106,32,1,sess_421326,5364
2,Somewhat Sure,2024-08-28T15:02:00.000Z,mobile,,true,false,0,false,I learned about chat safety rules,37,245,26,4,sess_791627,7559
2,Unsure,2025-06-14T19:09:00.000Z,desktop,4,true,true,25,false,,38,284,39,4,sess_604854,2164
1,Very Sure,2025-02-10T07:56:00.000Z,mobile,,true,false,0,false,,39,256,5,1,sess_698031,5856
2,Somewhat Sure,2025-07-06T19:31:00.000Z,mobile,4,true,false,0,true,,40,147,15,2,sess_374832,14348
2,Unsure,2025-04-19T08:46:00.000Z,mobile,4,false,false,0,true,,41,291,2,4,sess_808158,10689
1,Somewhat Sure,2025-06-03T10:52:00.000Z,mobile,3,true,true,25,false,,42,276,4,4,sess_212577,13450
1,Very Sure,2025-11-12T22:35:00.000Z,desktop,3,true,false,0,false,,43,74,10,2,sess_116544,6043
1,Very Sure,2024-07-15T07:25:00.000Z,tablet,,true,false,0,false,,44,34,37,2,sess_548436,4477
1,Unsure,2024-09-05T11:16:00.000Z,mobile,,true,false,0,false,I learned about comment etiquette,45,62,35,3,sess_149720,2247
1,Very Sure,2025-03-18T22:23:00.000Z,desktop,4,true,true,25,false,,46,126,4,4,sess_522748,446
1,Somewhat Sure,2025-09-07T07:56:00.000Z,tablet,,true,true,15,false,,47,188,11,1,sess_141286,7446
1,Very Sure,2025-11-30T18:10:00.000Z,mobile,,true,false,0,false,I learned about malware prevention,48,277,19,2,sess_413182,10207
1,Somewhat Sure,2024-07-11T06:56:00.000Z,mobile,5,true,true,25,false,,49,99,12,3,sess_895966,5472
1,Somewhat Sure,2024-09-10T09:55:00.000Z,mobile,,true,true,15,false,,50,195,26,1,sess_953913,6561
2,Somewhat Sure,2024-09-02T08:19:00.000Z,mobile,5,true,false,0,false,,51,228,15,2,sess_388632,4091
1,Unsure,2024-08-11T18:11:00.000Z,mobile,5,true,true,15,true,,52,136,33,3,sess_296752,9725
