achievement_code,achievement_id,achievement_name,badge_color,badge_icon,category,created_at,description,display_order,is_active,is_hidden,is_repeatable,max_times_earnable,points_value,rarity,trigger_condition,trigger_type
ACH001,1,First Steps,bronze,badge_001.png,Learning,2023-05-21T17:35:00.000Z,Complete your first lesson,1,true,false,true,5,10,Common,Complete your first lesson,automatic
ACH002,2,Quick Learner,silver,badge_002.png,Engagement,2023-06-20T07:28:00.000Z,Complete 5 lessons in one day,2,true,false,false,1,25,Uncommon,Complete 5 lessons in one day,automatic
ACH003,3,Quiz Champion,gold,badge_003.png,Learning,2023-01-23T17:08:00.000Z,Score 100% on any quiz,3,true,false,false,1,50,Rare,Score 100% on any quiz,automatic
ACH004,4,Perfect Week,silver,badge_004.png,Engagement,2023-01-12T21:39:00.000Z,Log in every day for 7 days,4,true,false,false,1,50,Uncommon,Log in every day for 7 days,automatic
ACH005,5,Streak Master,platinum,badge_005.png,Engagement,2023-01-22T18:39:00.000Z,Maintain a 30-day login streak,5,true,false,false,1,200,Epic,Maintain a 30-day login streak,automatic
ACH006,6,Digital Explorer,silver,badge_006.png,Learning,2023-04-24T08:00:00.000Z,Complete Digital Basics module,6,true,false,false,1,100,Uncommon,Complete Digital Basics module,automatic
ACH007,7,Safety Savvy,gold,badge_007.png,Safety,2023-06-22T19:26:00.000Z,Complete all safety modules,7,true,false,false,1,150,Rare,Complete all safety modules,automatic
ACH008,8,AI Curious,silver,badge_008.png,Learning,2023-06-05T10:23:00.000Z,Complete Introduction to AI,8,true,false,false,1,100,Uncommon,Complete Introduction to AI,automatic
ACH009,9,Career Planner,silver,badge_009.png,Career,2023-04-18T13:07:00.000Z,Explore 5 different careers,9,true,false,false,1,50,Uncommon,Explore 5 different careers,automatic
ACH010,10,Code Breaker,gold,badge_010.png,Learning,2023-06-16T22:41:00.000Z,Complete Coding Fundamentals,10,true,false,false,1,150,Rare,Complete Coding Fundamentals,automatic
ACH011,11,Data Detective,silver,badge_011.png,Learning,2023-01-25T21:25:00.000Z,Complete Data Literacy,11,true,false,false,1,100,Uncommon,Complete Data Literacy,automatic
ACH012,12,Creative Mind,silver,badge_012.png,Learning,2023-03-31T13:04:00.000Z,Complete Creative Tools module,12,true,false,false,1,100,Uncommon,Complete Creative Tools module,automatic
ACH013,13,Communication Pro,silver,badge_013.png,Learning,2023-01-23T12:57:00.000Z,Complete Communication module,13,true,false,false,1,75,Uncommon,Complete Communication module,automatic
ACH014,14,Team Player,bronze,badge_014.png,Social,2023-03-02T21:30:00.000Z,Share content with 3 peers,14,true,false,true,5,30,Common,Share content with 3 peers,automatic
ACH015,15,Early Bird,bronze,badge_015.png,Engagement,2023-06-16T12:33:00.000Z,Study before 8 AM,15,true,false,true,5,15,Common,Study before 8 AM,automatic
ACH016,16,Night Owl,bronze,badge_016.png,Engagement,2023-03-16T10:23:00.000Z,Study after 9 PM,16,true,false,true,5,15,Common,Study after 9 PM,automatic
ACH017,17,Weekend Warrior,bronze,badge_017.png,Engagement,2023-06-14T20:13:00.000Z,Study on weekend,17,true,false,true,5,25,Common,Study on weekend,automatic
